序号,披露日期,承租人,承租人所属集团,承租人企业类型,承租人科技型称号,承租人负面信息,承租人经营状态,承租人-法定代表人,承租人-联系电话,出租人,出租人企业类型,出租人-法定代表人,出租人-联系电话,融资额（万元）,融资额币种,财产价值（万元）,财产价值币种,期限,起始日期,截止日期,最新登记状态,租赁财产描述,申万行业一级,国标行业门类,国标行业大类,承租人所属地区,出租人所属地区,文件来源
4071,2020-07-23,鹤山市源动力贸易有限公司,,民企,,"失信,终本案件",在营,陈泰开,8810900,广东宏泰融资租赁有限公司,民企,梁仕璋,29808778,,,"1,573.00",CNY,5年,2020-07-23,2025-07-22,初始登记,ZSW1960给料机壹台、PE1500B颚式破碎机壹台、CM500B单缸圆锥机壹台、PH-5高效液压圆锥机叁台、CL2000制砂机肆台、2YKRG3070振动筛肆台、2YKRG2670振动筛叁台、2YKRG2670泥筛肆台，现位于广东省江门市恩平市那吉镇那北村聂村经济合作社中间朗。    上述设备合同号为〔2020〕宏泰租字第014号和〔2020〕宏泰买字第014号，设备所有权人为广东宏泰融资租赁有限公司。,商贸零售,批发和零售业,零售业,广东-江门-鹤山,广东-佛山-顺德,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4072,2020-07-23,京能源深泰州能源科技有限公司,北京国有资本运营管理有限公司,国企,,,在营,王正兴,0523-83268868,深圳京能融资租赁有限公司,国企,韩羿,010-88136968,,CNY,"1,719.92",CNY,5年,2020-07-23,2025-07-22,初始登记,光伏组件、组串式逆变器,综合,科学研究和技术服务业,研究和试验发展,江苏-泰州-兴化,广东-深圳-南山,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4073,2020-07-22,商丘市妇幼保健院,,,,,在营,尤培华,,河南相银融资租赁股份有限公司,国企,黄娟,0372-3666816,,,"1,302.68",CNY,5年,2020-07-22,2025-07-21,初始登记,医疗设备一批,,,,河南-商丘-梁园,河南-安阳-龙安,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4074,2020-07-22,贵定县人民医院,,,,,在营,陈国柁,,海发宝诚融资租赁有限公司,"国企,发债",张明明,021-65967877,,,"1,500.00",CNY,5年,2020-07-22,2025-07-21,初始登记,202020160合同项下的租赁物件一批。,,,,贵州-黔南州-贵定,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4075,2020-07-21,山东焱鑫矿用材料加工有限公司,山东能源集团有限公司,国企,"国家级专精特新""小巨人""企业,高新技术企业,省级企业技术中心,省级制造业单项冠军企业",,在营,陈强,0538-6371967,济南京峪融资租赁有限公司,,解钰,15964010715,,,"1,157.89",CNY,5年,2020-07-21,2025-07-20,初始登记,*矿山专用设备*拔丝机 1台，型号S120019；*电工机械设备*设备 1台，型号SN125+AST29；*电工机械设备*设备 1台，型号SM030+CSP+BE125；*机床*油压机 1台，型号YW32-630T；*机床*压力机 1台，型号JH21-250T。,机械设备,制造业,金属制品业,山东-泰安-新泰,山东-济南-历下,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4076,2020-07-20,邯郸市永年区妇幼保健院,,,,被执行人,在营,冯巨英,,平安点创国际融资租赁有限公司,发债,贾宏硕,021-38642675,,,"1,019.69",CNY,5年,2020-07-20,2025-07-19,初始登记,,,,,河北-邯郸-永年,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4077,2020-07-20,京能源深(嘉兴)能源科技有限公司,北京国有资本运营管理有限公司,国企,,,在营,陈鹏,0573-87989036,北京京能融资租赁有限公司,国企,侯凯,1088136968,,CNY,"3,327.80",CNY,5年,2020-07-20,2025-07-19,初始登记,光伏发电设备,社会服务,科学研究和技术服务业,专业技术服务业,浙江-嘉兴-南湖,北京-密云,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4078,2020-07-20,宁波中邦铝业有限公司,,民企,高新技术企业,,在营,蔡少楷,58971658,上海鼎策融资租赁有限公司,民企,许树根,0571-86799333,,,"1,749.17",CNY,5年,2020-07-20,2025-07-19,初始登记,设备请详见附件清单，其中附件清单序号54设备型号为JG31-160T的*机床*压力机的出厂编号为181129、181129。,有色金属,制造业,有色金属冶炼和压延加工业,浙江-宁波-慈溪,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4079,2020-07-18,河南德源矿山工程有限公司,,民企,,,在营,陈威璇,15837131838,汇银融资租赁有限公司,国企,杨文乾,15662612927,,,"1,145.00",CNY,5年,2020-07-18,2025-07-17,初始登记,"""1、名称：挖掘机 2、品牌：LOVOL 3、制造商：雷沃工程机械集团有限公司 4、规格型号：FR510E-HD、FR510E-HD、FR370E-HD、FR370E-HD、FR370E-HD、FR370E-HD、FR370E-HD 5、出厂编号：FTC003RPAKH100728、FTC003RPCKH100726、FTC003RNCKH101267、FTC003RNEKH101252、FTC003RNVKH101231、FTC003RNVKH101262、FTC003RNLKH101233 6、发动机号：35357516、35356910、933577、927050、921395、935294、921396 7、数量：7 """,建筑装饰,建筑业,建筑装饰、装修和其他建筑业,河南-郑州-荥阳,山东-潍坊-坊子,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4080,2020-07-17,乐业县人民医院,,,,,在营,班攀,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"3,685.00",CNY,5年,2020-07-17,2025-07-16,初始登记,基于编号为M528-001BLC的租赁合同项下的租赁资产，包括高频移动式手术X射线机-PLX112B、医疗信息系统硬件、X线数字摄影系统(DR)DR-SIM、胃镜、X线摄影系统(DR)、BS-300自动生化分析仪、生化分析仪、麻醉机、远程系统设备、空调、电视等租赁物件，租赁物件清单因容量大小难以上传，可查询乐业县人民医院针对编号为M528-001BLC的租赁合同出具的盖章版租赁物件清单。,,,,广西-百色-乐业,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4081,2020-07-17,夹江县中医医院,,,,,在营,吴永超,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"4,170.57",CNY,5年,2020-07-17,2025-07-16,初始登记,基于编号为M486-001BLC的租赁合同项下的租赁资产，包括半导体激光治疗机、激光治疗机、电脑、打印机、史赛克688电子腹腔镜、麻醉剂WAT0EX-65、数字X光摄影系统、电子鼻咽喉镜、东芝4层螺旋扫描CT、彩色多普勒超声诊断仪(含工作站)、全自动血液细胞分析仪、磁共振成像系统等租赁物件，租赁物件清单因容量大小难以上传，可查询夹江县中医医院针对编号为M486-001BLC的租赁合同出具的盖章版租赁物件清单。,,,,四川-乐山-夹江,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4082,2020-07-17,河南省经济管理学校,,,,,在营,杨俊峰,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,363.13",CNY,5年,2020-07-17,2025-07-16,初始登记,,,,,河南-南阳,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4083,2020-07-17,河间市人民医院,,,,,在营,赵景坡,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"3,309.50",CNY,5年,2020-07-17,2025-07-16,初始登记,,,,,河北-沧州-河间,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4084,2020-07-17,肇庆市鼎湖区中医院,,,,"限高消费,终本案件",在营,黎虞明,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"3,102.49",CNY,5年,2020-07-17,2025-07-16,初始登记,,,,,广东-肇庆-鼎湖,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4085,2020-07-17,新乡新华医院,,,,被执行人,在营,刘丽华,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,CNY,"2,979.18",CNY,5年,2020-07-17,2025-07-16,初始登记,,,,,河南-新乡-卫滨,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4086,2020-07-16,河间市供水排水有限责任公司,河间市城乡投资发展集团有限责任公司,"国企,城投子公司",,,在营,刘立功,0317-3222683,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,594.21",CNY,5年,2020-07-16,2025-07-15,初始登记,,环保,电力、热力、燃气及水生产和供应业,水的生产和供应业,河北-沧州-河间,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4087,2020-07-16,河间市供水排水有限责任公司,河间市城乡投资发展集团有限责任公司,"国企,城投子公司",,,在营,刘立功,0317-3222683,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,431.24",CNY,5年,2020-07-16,2025-07-15,初始登记,,环保,电力、热力、燃气及水生产和供应业,水的生产和供应业,河北-沧州-河间,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4088,2020-07-16,石门县人民医院,,,,,在营,张波,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,978.55",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,湖南-常德-石门,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4089,2020-07-16,灵山县人民医院,,,,,,蒙家辉,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,523.68",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,广西-钦州-灵山,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4090,2020-07-16,灵山县人民医院,,,,,,蒙家辉,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,510.00",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,广西-钦州-灵山,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4091,2020-07-16,西充县人民医院,,,,,在营,刘小莉,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,004.78",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,四川-南充-西充,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4092,2020-07-16,高青县人民医院(淄博市中心医院高青院区),,,,,在营,张仁光,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,CNY,"2,987.65",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,山东-淄博-高青,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4093,2020-07-16,高青县人民医院(淄博市中心医院高青院区),,,,,在营,张仁光,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,CNY,"3,291.11",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,山东-淄博-高青,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4094,2020-07-16,临湘市人民医院,,国企,,,在营,龚波涛,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"1,259.30",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,湖南-岳阳-临湘,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4095,2020-07-16,息县人民医院(信阳师范大学人民医院),,,,,在营,叶梅,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,997.16",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,河南-信阳-息县,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4096,2020-07-16,山阳县人民医院,,,,,在营,韦韡,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,955.42",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,陕西-商洛-山阳,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4097,2020-07-16,安顺市平坝区人民医院,,,,,在营,王宏,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"3,075.79",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,贵州-安顺-平坝,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4098,2020-07-16,东兰县人民医院,,,,,在营,韦永孜,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"1,241.89",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,广西-河池-东兰,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4099,2020-07-16,万年县中医院,,,,,在营,吴子年,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"1,842.02",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,江西-上饶-万年,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4100,2020-07-16,万年县中医院,,,,,在营,吴子年,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"1,804.60",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,江西-上饶-万年,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4101,2020-07-16,万年县人民医院,,,,,在营,邱军,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"1,824.54",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,江西-上饶-万年,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4102,2020-07-16,周口市第一人民医院,,,,被执行人,在营,谢书源,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,118.32",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,河南-周口-淮阳,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4103,2020-07-16,周口市第一人民医院,,,,被执行人,在营,谢书源,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,227.68",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,河南-周口-淮阳,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4104,2020-07-16,周口市第一人民医院,,,,被执行人,在营,谢书源,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,476.32",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,河南-周口-淮阳,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4105,2020-07-16,周口市第一人民医院,,,,被执行人,在营,谢书源,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,398.00",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,河南-周口-淮阳,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4106,2020-07-16,威宁彝族回族苗族自治县人民医院,,,,,在营,杨震,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,050.90",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,贵州-毕节-威宁县,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4107,2020-07-16,郏县妇幼保健院,,国企,,,在营,肖钦克,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,692.64",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,河南-平顶山-郏县,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4108,2020-07-16,郏县妇幼保健院,,国企,,,在营,肖钦克,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"1,541.87",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,河南-平顶山-郏县,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4109,2020-07-16,延长县人民医院(延长县急救站),,,,,在营,郭效龙,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"1,602.18",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,陕西-延安-延长,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4110,2020-07-16,建湖县人民医院(建湖县红十字医院),,,,,在营,薛成俊,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"3,053.40",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,江苏-盐城-建湖,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4111,2020-07-16,六盘水市钟山人民医院(六盘水市钟山区人民医院),,,,"被执行人,终本案件",在营,刘静,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,364.96",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,贵州-六盘水-钟山,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4112,2020-07-16,六盘水市钟山人民医院(六盘水市钟山区人民医院),,,,"被执行人,终本案件",在营,刘静,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"1,916.00",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,贵州-六盘水-钟山,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4113,2020-07-16,六盘水市钟山人民医院(六盘水市钟山区人民医院),,,,"被执行人,终本案件",在营,刘静,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,406.01",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,贵州-六盘水-钟山,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4114,2020-07-16,连城县医院,,,,,在营,马华雄,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,393.17",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,福建-龙岩-连城,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4115,2020-07-16,连城县医院,,,,,在营,马华雄,,上海普熙融资租赁有限公司,国企,杨虎山,021-61550035,,,"2,476.48",CNY,5年,2020-07-16,2025-07-15,初始登记,,,,,福建-龙岩-连城,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4116,2020-07-16,郑州一脉阳光医学影像诊断中心有限公司,江西一脉阳光集团,民企,,,在营,黄俊杰,0371-63366789,通用电气医疗融资租赁(中国)有限公司,,叶永梅,18101130850,,,"1,338.48",CNY,5年,2020-07-16,2025-07-15,初始登记,正电子发射断层及X射线计算机体层摄影设备 PET/CT System，Discovery PET/CT 710，1台,美容护理,卫生和社会工作,卫生,河南-郑州-金水,北京-大兴,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4117,2020-07-14,中汉基业(北京)建设工程有限公司,,民企,,,在营,崔永明,010-85823669,中国康富国际租赁股份有限公司,"国企,发债",姚敏,010-50815716,,CNY,"2,200.00",CNY,5年,2020-07-14,2025-07-13,初始登记,“三一牌”SRC600C起重机10，合同价22000000元。,建筑装饰,建筑业,房屋建筑业,北京-门头沟,北京-海淀,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4118,2020-07-14,北京扬德环保能源科技股份有限公司,扬德环能,民企,"国家级专精特新""小巨人""企业,高新技术企业,省级""专精特新""中小企业",,在营,黄朝华,62529907,北京机器人融资租赁股份有限公司,国企,宁卓冉,010-87930200,,,"1,023.04",CNY,5.16年,2020-07-14,2025-09-13,初始登记,国资租赁和北京扬德环境签订的编号为【GZZL2020008N004-ZZ 】的《融资租赁合同》项下的租赁物【工控机 】设备等财产。详见清单。,环保,水利、环境和公共设施管理业,生态保护和环境治理业,北京-海淀,北京-西城,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4119,2020-07-14,开远市中医医院,,国企,,,在营,陈俊,,国耀融汇融资租赁有限公司,"国企,发债",黄德炜,021-38601288,,,"3,653.35",CNY,5年,2020-07-14,2025-07-13,初始登记,设备一批。,,,,云南-红河州-开远,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4120,2020-07-14,凌源市中医院(凌源市中西医结合医院),,,,,在营,程岩,,平安点创国际融资租赁有限公司,发债,贾宏硕,021-38642675,,,"2,203.71",CNY,5年,2020-07-14,2025-07-13,初始登记,,,,,辽宁-朝阳-凌源,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4121,2020-07-13,呼伦贝尔学院,,,,,在营,张玉柱,,诚泰融资租赁(上海)有限公司,"国企,发债",牛卫东,021-80298166,,,"3,020.90",CNY,5年,2020-07-13,2025-07-12,初始登记,投影机等。,,,,内蒙古-呼伦贝尔-海拉尔,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4122,2020-07-13,甘肃瑞康纳斯石油工程技术有限公司,,民企,,,在营,谢旭,18192598363,中国康富国际租赁股份有限公司,"国企,发债",姚敏,010-50815716,,,"1,660.00",CNY,5年,2020-07-13,2025-07-12,初始登记,“三一牌”SYN5421TYL压裂车2台，合同价16600000元。,建筑装饰,建筑业,建筑装饰、装修和其他建筑业,甘肃-庆阳-合水,北京-海淀,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4123,2020-07-10,石首市中医医院,,国企,,,在营,彭勇,,平安点创国际融资租赁有限公司,发债,贾宏硕,021-38642675,,,"4,740.02",CNY,5年,2020-07-10,2025-07-09,初始登记,,,,,湖北-荆州-石首,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4124,2020-07-10,杭州中诚装备服务股份有限公司,,民企,,,在营,蔡建忠,0571-86619239,浙江浙银金融租赁股份有限公司,发债,汪国平,0571-87560880,,,"3,400.00",CNY,5年,2020-07-10,2025-07-09,初始登记,1、我公司与杭州中诚装备服务股份有限公司签订的编号为ZY2020ZJ406号《融资租赁合同》中列明的机械设备等。,综合,居民服务、修理和其他服务业,其他服务业,浙江-杭州-西湖,浙江-舟山-定海,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4125,2020-07-10,上海远洲逸廷酒店有限公司,,民企,,,在营,陈梦华,021-39558888,仲利国际融资租赁有限公司,发债,陈凤龙,021-52080101,,CNY,"1,322.50",CNY,5年,2020-07-10,2025-07-09,初始登记,,社会服务,住宿和餐饮业,住宿业,上海-闵行,上海-长宁,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4126,2020-07-09,睢县妇幼保健院,,,,,在营,李政委,,河北省金融租赁有限公司,"国企,发债",徐敏俊,0311-85278585,,,"2,068.91",CNY,5年,2020-07-09,2025-07-08,初始登记,名称：医疗设备一批；规格：见租赁物清单；质量：良好；数量：见租赁物清单；金额：净值总额20689105元；所在地：河南省商丘市睢县妇幼保健院。,,,,河南-商丘-睢县,河北-石家庄-正定,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4127,2020-07-09,准格尔旗中心医院,,,,,在营,王文全,,信源富通融资租赁有限公司,"国企,发债",张毅,010-64196708,,,"1,221.29",CNY,8年,2017-09-13,2025-09-12,展期登记,医疗设备。,,,,内蒙古-鄂尔多斯-准旗,北京-通州,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4128,2020-07-09,准格尔旗中心医院,,,,,在营,王文全,,信源富通融资租赁有限公司,"国企,发债",张毅,010-64196708,,,"1,275.00",CNY,8年,2017-09-13,2025-09-12,展期登记,肿瘤医疗设备。,,,,内蒙古-鄂尔多斯-准旗,北京-通州,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4129,2020-07-09,迁西县人民医院,,国企,,,在营,彭永光,,国健融资租赁有限公司,"国企,发债",田纪军,010-68267999,,,"4,000.00",CNY,5年,2020-07-09,2025-07-08,初始登记,医疗设备一批。,,,,河北-唐山-迁西,北京-西城,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4130,2020-07-09,迁西县人民医院,,国企,,,在营,彭永光,,国健融资租赁有限公司,"国企,发债",田纪军,010-68267999,,,"4,000.00",CNY,5年,2020-07-09,2025-07-08,初始登记,医疗设备一批。,,,,河北-唐山-迁西,北京-西城,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4131,2020-07-09,昌乐昌洁环卫有限公司,,国企,,,在营,李海龙,13869684701,山钢金控融资租赁(深圳)有限公司,"国企,发债",时鹏刚,0531-67606115,,,"2,000.00",CNY,5年,2020-07-09,2025-07-08,初始登记,城东、开发区等地的垃圾转运站设备及方山路、宝通街等街道公交站候车厅、洪阳街等街道的护栏,综合,居民服务、修理和其他服务业,其他服务业,山东-潍坊-昌乐,广东-深圳-南山,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4132,2020-07-08,山东海纳智能装备科技股份有限公司,济宁能源发展集团有限公司,国企,"国家级专精特新""小巨人""企业,高新技术企业,省级""专精特新""中小企业,省级企业技术中心,省级制造业单项冠军企业",,在营,朱凯,0537-2612376,东方圣城融资租赁有限公司,"国企,发债",荣强,0537-2213189,,,"3,000.00",CNY,5年,2020-07-08,2025-07-07,初始登记,生产设备一批。,机械设备,制造业,专用设备制造业,山东-济宁-任城,山东-济宁-任城,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4133,2020-07-08,遵义市公共交通(集团)有限责任公司,遵义市公共交通(集团)有限责任公司,"国企,发债",,"被执行人,终本案件",在营,朱俊令,0851-28869160,重庆市交通设备融资租赁有限公司,国企,李波,2386851005,,,"3,500.00",CNY,5年,2020-07-08,2025-07-07,初始登记,本合同的租赁物是承租人已经完全拥有所有权的39辆公交车辆,综合,公共管理、社会保障和社会组织,群众团体、社会团体和其他成员组织,贵州-遵义-红花岗,重庆-渝北,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4134,2020-07-07,万荣中油燃气有限公司,,民企,,终本案件,在营,梁军,0359-4532518,新疆恒泰融资租赁有限公司,,孟宪莹,13750096052,,,"4,500.00",CNY,5年,2020-07-07,2025-07-06,初始登记,公司燃气管道资产98km。,建筑装饰,建筑业,房屋建筑业,山西-运城-万荣,新疆-伊犁州-霍尔果斯,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4135,2020-07-07,陕西佳佑建设工程集团有限公司,,民企,,,在营,陈涛,18192536505,中联重科融资租赁(北京)有限公司,"国企,发债",黄远锋,13621388125,,,"1,620.00",CNY,5年,2020-07-07,2025-07-06,初始登记,ZCC5000-1履带起重机 1台 ZCC500B-0007,建筑装饰,建筑业,建筑装饰、装修和其他建筑业,陕西-西安-雁塔,北京-怀柔,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4136,2020-07-07,上海一电集团有限公司,,民企,"高新技术企业,省级""专精特新""中小企业,省级创新型中小企业",,在营,叶三芬,021-33521118,长江联合金融租赁有限公司,国企,邱鹤良,021-20576000,,CNY,"2,872.21",CNY,5年,2020-07-07,2025-07-06,初始登记,"本项目标的物为承租人上海一电集团有限公司名下的部分固定资产(详见租赁财产附件)，存放地点详见租赁财产附件，租赁物发票所载的价值为人民币21,522,747.00元。在本项目合同存续期间(2020年7月7日至2025年7月7日，期限五年)，该租赁标的物的所有权归长江联合金融租赁有限公司所有，特此说明。",商贸零售,批发和零售业,批发业,上海-黄浦,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4137,2020-07-07,奥瑞安能源国际有限公司,,,,,在营,韩肇辉,010-52707100,陕西兆银融资租赁有限公司,,王建荣,18092553759,,,"1,050.00",CNY,5年,2020-07-07,2025-07-06,初始登记,排采设备等,社会服务,科学研究和技术服务业,专业技术服务业,北京-丰台,陕西-西安-灞桥,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4138,2020-07-03,新宁县人民医院,,,,,在营,蒋连波,,上海爱建融资租赁股份有限公司,"民企,发债",马金,021-64396600,,CNY,"1,080.00",CNY,5.08年,2020-07-03,2025-08-02,初始登记,1、租赁物：X线计算机体层摄影设备和高压注射器2、租赁物设置地址：湖南省邵阳市新宁县金石镇广场路46号,,,,湖南-邵阳-新宁,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4139,2020-07-02,奥瑞安能源国际有限公司,,,,,在营,韩肇辉,010-52707100,陕西兆银融资租赁有限公司,,王建荣,18092553759,,,"3,600.00",CNY,7年,2018-07-11,2025-07-10,展期登记,租赁财产包括煤气层井、CNG站、输气管网等生产配套设备，清单详见租赁财产附件。,社会服务,科学研究和技术服务业,专业技术服务业,北京-丰台,陕西-西安-灞桥,租赁融资事件-租赁资产价值1000-5000_7-12月到期
4140,2020-07-02,杭州中诚装备服务股份有限公司,,民企,,,在营,蔡建忠,0571-86619239,杭州金投融资租赁有限公司,"国企,发债",沈丽芬,0571-87037750,,,"4,200.00",CNY,5年,2020-07-02,2025-07-01,初始登记,"复合式土压平衡盾构机1台：型号/规格为公称外径  φ7180mm；单价(RMB)为42,000,000元；租赁物交付地址为杭州机场线中间风井至杭州西站区间；供应商/生产商为辽宁三三工业有限公司；租赁物设置地址为杭州机场线中间风井至杭州西站区间。",综合,居民服务、修理和其他服务业,其他服务业,浙江-杭州-西湖,浙江-杭州-萧山,租赁融资事件-租赁资产价值1000-5000_7-12月到期
